Unnamed: 0,M,N,K,model_type,regularization_type,knot_density_max,knot_density_end,test_loss_end,test_accuracy_end,path
0,64,64,8,ISTA,,964.9718627929688,964.9718627929688,0.0681930482387542,0.0,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/8_64_64_n=0.1_f353/parameters.csv
1,64,64,8,LISTA,,162.1734619140625,162.1734619140625,0.0281464830040931,0.0,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/8_64_64_n=0.1_f353/parameters.csv
0,64,64,8,ISTA,,955.4534301757812,955.4534301757812,0.0018982839537784,3.02734375,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/8_64_64_n=0.01_efe3/parameters.csv
1,64,64,8,LISTA,,210.5605926513672,210.5605926513672,0.0020198721904307,66.30859375,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/8_64_64_n=0.01_efe3/parameters.csv
0,24,32,4,ISTA,,936.5447387695312,936.5447387695312,0.0419657751917839,0.0,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24_n=0.075_6a5f/parameters.csv
1,24,32,4,LISTA,,727.5372924804688,727.5372924804688,0.0197326261550188,0.0,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24_n=0.075_6a5f/parameters.csv
0,64,64,8,ISTA,,986.0,986.0,0.0015639632474631,86.328125,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/8_64_64_n=0_1684/parameters.csv
1,64,64,8,LISTA,,189.6499481201172,189.6499481201172,0.0014682430773973,82.8125,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/8_64_64_n=0_1684/parameters.csv
0,24,32,4,ISTA,,931.9754638671876,931.9754638671876,0.003244703868404,18.9453125,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24_n=0.01_4c91/parameters.csv
1,24,32,4,LISTA,,778.1136474609375,778.1136474609375,0.0018842226127162,91.11328125,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24_n=0.01_4c91/parameters.csv
0,24,32,4,ISTA,,926.63134765625,926.63134765625,0.065887838602066,0.0,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24_n=0.1_8aba/parameters.csv
1,24,32,4,LISTA,,850.9235229492188,850.9235229492188,0.0296180862933397,0.0,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24_n=0.1_8aba/parameters.csv
0,24,32,4,ISTA,,929.3406982421876,929.3406982421876,0.0082919709384441,0.0,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24_n=0.025_2c31/parameters.csv
1,24,32,4,LISTA,,801.8460693359375,801.8460693359375,0.0032653529196977,43.65234375,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24_n=0.025_2c31/parameters.csv
0,24,32,4,ISTA,,929.4871826171876,929.4871826171876,0.0663690418004989,0.0,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24_n=0.25_2dce/parameters.csv
1,24,32,4,LISTA,,760.2906494140625,760.2906494140625,0.0361155532300472,0.0,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24_n=0.25_2dce/parameters.csv
0,64,64,8,ISTA,,973.1369018554688,973.1369018554688,0.0221436209976673,0.0,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/8_64_64_n=0.05_54f0/parameters.csv
1,64,64,8,LISTA,,208.0596618652344,208.0596618652344,0.0094217844307422,0.0,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/8_64_64_n=0.05_54f0/parameters.csv
0,64,64,8,ISTA,,962.8660888671876,962.8660888671876,0.0428612530231475,0.0,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/8_64_64_n=0.075_69b8/parameters.csv
1,64,64,8,LISTA,,192.0303192138672,192.0303192138672,0.0225644223392009,0.0,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/8_64_64_n=0.075_69b8/parameters.csv
0,24,32,4,ISTA,,931.5362548828124,931.5362548828124,0.0033709038980305,20.99609375,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/old_runs/4_8_24_n=0.01_ef4f/parameters.csv
1,24,32,4,LISTA,,501.3185424804688,501.3185424804688,0.1287327855825424,0.0,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/old_runs/4_8_24_n=0.01_ef4f/parameters.csv
0,64,64,8,ISTA,,960.0142822265624,960.0142822265624,0.0020077077206224,2.83203125,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/old_runs/8_64_64_n=0.01_ca1d/parameters.csv
1,64,64,8,LISTA,,113.44602966308594,113.44602966308594,0.0562989488244056,0.0,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/old_runs/8_64_64_n=0.01_ca1d/parameters.csv
0,64,64,8,ISTA,,974.1775512695312,974.1775512695312,0.0068289930932223,0.0,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/8_64_64_n=0.025_ba02/parameters.csv
1,64,64,8,LISTA,,212.2588806152344,212.2588806152344,0.0055499002337455,3.61328125,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/8_64_64_n=0.025_ba02/parameters.csv
0,24,32,4,ISTA,,927.5096435546876,927.5096435546876,0.0226352550089359,0.0,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24_n=0.05_8980/parameters.csv
1,24,32,4,LISTA,,819.9381103515625,819.9381103515625,0.0088545978069305,0.5859375,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24_n=0.05_8980/parameters.csv
0,64,64,8,ISTA,,184.1598358154297,184.1598358154297,0.0509615465998649,3.90625,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/8_64_64_n=0.25_122d/parameters.csv
1,64,64,8,LISTA,,203.8101043701172,203.8101043701172,0.0941604971885681,0.0,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/8_64_64_n=0.25_122d/parameters.csv
