Unnamed: 0,M,N,K,model_type,regularization_type,knot_density_max,knot_density_end,test_loss_end,train_loss_end,test_accuracy_end,noise_std,path
0,24,32,4,ISTA,,125.78468322753906,117.30192565917967,0.0740136951208114,0.073562778532505,19.921875,0.25,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0.25_e6e7/parameters.csv
1,24,32,4,LISTA,,161.6885986328125,161.6885986328125,0.1148323491215705,0.0931283310055732,0.0,0.25,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0.25_e6e7/parameters.csv
2,24,32,4,ISTA,,129.09432983398438,121.3954849243164,0.0694364681839943,0.0718991234898567,22.4609375,0.25,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0.25_e6e7/parameters.csv
3,24,32,4,LISTA,,164.96218872070312,164.96218872070312,0.112401507794857,0.0917854458093643,0.0,0.25,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0.25_e6e7/parameters.csv
4,24,32,4,ISTA,,122.2574234008789,121.9219207763672,0.0738136619329452,0.0737098976969719,21.875,0.25,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0.25_e6e7/parameters.csv
5,24,32,4,LISTA,,168.20584106445312,168.20584106445312,0.1156888902187347,0.0883666574954986,0.0,0.25,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0.25_e6e7/parameters.csv
0,24,32,4,ISTA,,931.5362548828124,931.5362548828124,0.0081826457753777,0.008251248858869,0.0,0.025,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0.025_9c82/parameters.csv
1,24,32,4,LISTA,,154.21676635742188,154.21676635742188,0.0035991081967949,0.0020851164590567,42.3828125,0.025,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0.025_9c82/parameters.csv
2,24,32,4,ISTA,,921.8200073242188,921.8200073242188,0.0082222279161214,0.0080881947651505,0.0,0.025,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0.025_9c82/parameters.csv
3,24,32,4,LISTA,,176.3528594970703,176.3528594970703,0.0035322739277035,0.0020882403478026,41.9921875,0.025,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0.025_9c82/parameters.csv
4,24,32,4,ISTA,,936.6624755859376,936.6624755859376,0.0082591967657208,0.0083168866112828,0.0,0.025,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0.025_9c82/parameters.csv
5,24,32,4,LISTA,,169.68153381347656,169.68153381347656,0.0038793324492871,0.0021888040937483,39.6484375,0.025,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0.025_9c82/parameters.csv
0,24,32,4,ISTA,,931.5362548828124,931.5362548828124,0.0028157860506325,0.0027504006866365,80.859375,0.0,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0_f313/parameters.csv
1,24,32,4,LISTA,,134.49249267578125,134.49249267578125,0.0029030472505837,0.0011474604252725,81.640625,0.0,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0_f313/parameters.csv
2,24,32,4,ISTA,,935.6213989257812,935.6213989257812,0.0025909293908625,0.0026178145781159,80.95703125,0.0,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0_f313/parameters.csv
3,24,32,4,LISTA,,146.4096221923828,146.4096221923828,0.0023782346397638,0.0011213776888325,85.44921875,0.0,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0_f313/parameters.csv
4,24,32,4,ISTA,,927.3468017578124,927.3468017578124,0.0028007240034639,0.0029214667156338,74.8046875,0.0,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/4_8_24/4_8_24_n=0_f313/parameters.csv
